                           |                      2 degrees                                     6 degrees                                  10.5 degrees                                  15.5 degrees                                    20 degrees                                  24.5 degrees                                    30 degrees                                  35.5 degrees                                    41 degrees                                    48 degrees                                    55 degrees                                    60 degrees                                    65 degrees                                  71.5 degrees                                  77.5 degrees                                  83.5 degrees                                    91 degrees                                    99 degrees                                 106.5 degrees                                   114 degrees                                 121.5 degrees                                 128.5 degrees                                   136 degrees                                   145 degrees                                 155.5 degrees                                 165.5 degrees                                   175 degrees                | Angle-integrated DXS
         3.75          0.5 |                 182.03                7.52601                 174.43                4.25693                177.312                2.90754                168.478                2.34043                168.152                2.31062                168.661                1.87982                166.119                1.55109                167.366                1.58245                164.894                 1.3491                160.751                1.08408                159.574                1.18771                158.886                 1.4115                160.784                1.13343                155.015                1.00736                156.666                1.18078                152.667                0.97667                149.284               0.900658                145.918               0.895911                144.986               0.968878                142.215                0.91966                 141.54                1.01515                139.008                1.05008                139.498                1.04452                134.233                1.00878                134.636                1.13303                135.007                1.61387                131.666                2.56302 |                1891.79                3.00161
         4.25          0.5 |                150.602                6.84557                  146.9                3.90657                149.183                2.66695                148.711                2.19885                149.038                2.17533                148.652                 1.7648                146.755                1.45789                146.449                1.48026                146.703                1.27251                143.958                1.02589                142.689                1.12312                140.579                1.32769                139.322                1.05508                137.138               0.947491                137.203                  1.105                133.373                0.91287                131.787               0.846232                129.762                0.84486                126.837               0.906213                125.378               0.863508                125.093               0.954351                122.992               0.987737                119.608               0.967199                118.767               0.948892                116.967                1.05607                118.319                1.51084                116.299                2.40882 |                1665.37                2.81626
         4.75          0.5 |                119.486                6.09751                136.303                3.76304                 133.02                2.51834                131.219                2.06549                133.226                2.05671                127.889                1.63691                130.969                1.37725                127.746                1.38251                126.438                1.18135                126.039               0.959922                125.283                1.05239                123.174                1.24279                122.272               0.988411                121.721               0.892647                121.638                1.04044                118.965               0.862152                116.012               0.793973                113.073                0.78866                109.732               0.842892                108.726               0.804123                109.614               0.893356                107.064               0.921561                107.173                0.91554                104.658                0.89075                103.532               0.993574                102.673                1.40741                103.876                2.27653 |                1462.83                2.63946
         5.25          0.5 |                126.021                6.26202                117.395                3.49229                115.761                2.34929                116.231                1.94395                118.875                1.94277                115.318                1.55438                115.602                1.29393                115.283                1.31334                114.241                1.12293                111.439               0.902615                 109.91               0.985708                110.585                1.17757                109.112               0.933708                106.704               0.835771                105.601               0.969429                104.556               0.808259                101.716               0.743444                100.735                0.74439                98.9837                0.80055                96.8675               0.759004                96.3042               0.837365                95.2049               0.869025                94.0491               0.857654                92.5664               0.837714                92.4237                0.93876                 90.249                1.31951                89.8061                2.11675 |                1295.96                2.48435
         5.75          0.5 |                107.973                5.79631                102.435                3.26219                103.841                2.22506                104.917                1.84691                101.571                1.79581                103.166                 1.4702                101.655                1.21337                101.907                 1.2348                101.382                1.05784                100.327                0.85643                97.3302               0.927586                96.5656                 1.1004                95.4491               0.873294                95.8176               0.791989                94.8327               0.918673                 94.603               0.768826                91.1363               0.703719                89.9425               0.703385                88.0222               0.754923                87.1023               0.719731                85.0771               0.787043                84.8848               0.820574                83.1151               0.806259                 81.839               0.787679                82.3737               0.886252                80.5064                1.24625                 80.576                2.00502 |                 1153.9                2.34424
         6.25          0.5 |                97.0826                5.49622                90.4877                3.06606                92.7325                2.10268                90.7091                1.71731                95.6968                1.74311                90.7836                1.37915                92.3139                1.15627                92.4207                1.17593                89.2184               0.992358                88.8194               0.805819                89.0912               0.887458                87.5749                1.04792                87.4351               0.835829                84.9312               0.745642                86.2625                0.87618                83.1065               0.720597                80.6545               0.662015                79.4141               0.660936                79.5016               0.717455                77.5808               0.679254                 74.964               0.738785                73.4383               0.763245                73.8158               0.759818                73.5376               0.746661                70.6837               0.820961                71.7092                1.17619                71.4457                1.88801 |                1028.12                2.21279
         6.75          0.5 |                79.3464                4.96886                82.9038                2.93476                79.6689                1.94895                 86.385                1.67588                82.8695                1.62209                84.4143                1.32989                80.8869                1.08235                82.9198                1.11385                79.5714               0.937173                 79.944               0.764498                79.8797               0.840327                78.4588               0.991878                76.6885                0.78278                76.2639               0.706572                74.2661               0.812975                74.2779               0.681248                72.5309               0.627791                70.3984               0.622288                71.0976               0.678475                68.8088               0.639701                 68.018               0.703727                67.0448               0.729265                66.2058               0.719586                66.0929               0.707858                67.1462               0.800153                62.7576                1.10033                 65.758                 1.8113 |                920.839                2.09416
         7.25          0.5 |                74.0566                4.80038                 75.216                2.79538                74.0907                1.87948                75.0382                1.56194                73.0585                1.52304                75.5517                1.25815                75.1951                1.04357                73.8827                 1.0514                70.9399               0.884884                71.1929               0.721443                70.9954               0.792219                70.3834               0.939448                70.1766               0.748808                68.7488               0.670856                66.4256               0.768865                66.6364               0.645254                66.9286               0.603058                64.4741               0.595529                62.5123               0.636193                62.7129               0.610708                 61.538               0.669366                60.7068               0.693939                60.4417               0.687548                57.6171               0.660913                58.3834               0.746118                 57.703                1.05509                59.2221                1.71893 |                828.942                1.98692
         7.75          0.5 |                62.5436                4.41149                70.8526                2.71309                69.7044                  1.823                 69.121                1.49909                66.8671                1.45708                68.0091                1.19369                67.1716               0.986326                67.2694                1.00324                66.3261               0.855624                66.5432               0.697486                64.6305               0.755873                63.0354               0.889057                63.0175               0.709586                61.9538                0.63684                60.2672               0.732356                60.4195               0.614418                58.1855               0.562291                58.2418               0.566015                58.1095               0.613381                56.6587               0.580482                54.7814               0.631551                53.7501               0.652968                54.4116                0.65235                52.1586               0.628828                52.7005               0.708876                53.3623                1.01463                  50.94                1.59421 |                749.846                1.88975
         8.25          0.5 |                63.1659                4.43338                67.8398                2.65478                64.1738                1.74918                61.6757                1.41606                  61.66                 1.3992                61.3046                1.13333                 60.104               0.932994                59.8483               0.946284                59.6703               0.811559                59.7807               0.661095                58.5396               0.719374                56.6027               0.842473                57.1688               0.675856                 56.324               0.607216                56.0488               0.706261                54.6837               0.584527                54.3221               0.543302                51.9489               0.534563                52.0105               0.580299                51.2884               0.552287                50.7914               0.608117                49.6014               0.627263                49.0932               0.619648                48.0117               0.603313                47.6183               0.673829                46.5714               0.947874                48.3955                1.55389 |                680.847                 1.8007
         8.75          0.5 |                58.4985                4.26644                54.4381                2.37814                55.0674                1.62033                56.4737                1.35502                55.0241                1.32176                55.2286                 1.0757                55.0205               0.892667                54.9407               0.906657                 54.339               0.774456                53.2814               0.624125                53.6421               0.688626                53.4177               0.818427                51.7835               0.643236                51.7089               0.581808                50.9851               0.673602                50.2913               0.560559                49.2469                 0.5173                47.1908               0.509494                46.7013               0.549884                45.9895               0.522979                45.7531               0.577168                45.3417               0.599724                44.3458               0.588926                43.9937               0.577516                42.0307               0.633062                44.8544               0.930237                44.8531                1.49594 |                618.334                1.71605
         9.25          0.5 |                51.9641                 4.0211                52.5681                2.33694                52.6835                1.58487                50.7841                1.28495                51.3092                1.27637                50.9545                1.03324                50.1397               0.852155                50.2875               0.867413                49.0409               0.735733                48.9022               0.597926                 48.117               0.652198                47.2859               0.770023                48.8032               0.624452                47.4211               0.557163                45.7344               0.637975                 45.324               0.532156                44.2423               0.490312                43.1808               0.487366                42.4993               0.524562                41.9632               0.499562                42.1126                0.55373                40.5584               0.567209                41.1548               0.567342                39.7027               0.548629                39.0176               0.609948                39.5683               0.873705                40.4127                1.41996 |                563.228                1.63779
         9.75          0.5 |                42.9404                3.65533                49.2436                2.26183                46.2471                 1.4849                48.3132                 1.2533                47.2769                1.22518                47.0784               0.993162                46.1714               0.817738                45.3949               0.824137                46.8333               0.718983                45.0348               0.573796                 45.297               0.632798                43.2608               0.736521                42.9944               0.586112                43.3166               0.532505                 42.228               0.613031                   41.8                0.51105                41.1939               0.473119                39.6658               0.467109                39.0872               0.503064                38.2225               0.476776                38.3484               0.528404                36.7033               0.539579                36.8375                0.53676                35.3435               0.517635                36.1571               0.587164                 34.726                 0.8185                35.6231                1.33316 |                515.607                1.56703
        10.25          0.5 |                42.6292                3.64206                 41.348                2.07259                44.2446                 1.4524                43.3713                1.18748                43.7526                1.17863                42.4271               0.942825                43.2604               0.791539                43.4349               0.806148                 41.767               0.678981                41.3135               0.549579                40.7532               0.600221                40.2137               0.710109                39.5108               0.561866                 40.325               0.513788                40.5104               0.600434                38.2324               0.488755                37.7271               0.452773                 37.108               0.451798                35.3578               0.478464                35.6771               0.460628                34.7808               0.503224                 34.395               0.522336                33.0364               0.508313                33.1905               0.501621                33.0677               0.561519                31.9865               0.785551                34.1762                1.30581 |                475.264                1.50448
        10.75          0.5 |                 34.539                 3.2783                42.3869                2.09846                40.3828                1.38757                40.2827                1.14441                37.8469                1.09621                37.4197                0.88544                40.6534               0.767319                37.7493               0.751537                37.8155               0.646064                38.4331               0.530074                38.0658               0.580093                37.2294               0.683251                 37.745               0.549167                35.7491               0.483759                35.3754                0.56109                35.0208               0.467776                34.7114               0.434299                33.6205               0.430043                32.8068               0.460881                32.4478               0.439286                31.3588               0.477828                30.7143               0.493598                30.9873               0.492296                30.4385               0.480375                30.6077               0.540229                28.8612               0.746188                28.4386                1.19116 |                433.821                1.43738
        11.25          0.5 |                34.2278                 3.2635                36.5691                1.94914                 38.714                 1.3586                37.5516                1.10494                35.7514                1.06543                36.7911               0.877972                36.5693               0.727756                36.6571               0.740584                35.6079               0.626923                35.3625               0.508458                34.5739               0.552846                34.0945               0.653853                34.2294               0.522967                32.8164               0.463492                32.4475               0.537369                32.1092               0.447909                31.3859               0.412972                30.8866               0.412188                30.7738               0.446372                29.6288               0.419771                28.7668               0.457654                28.6915               0.477067                28.6723                0.47355                27.5349               0.456889                26.8032                0.50554                27.8773               0.733358                26.4429                1.14861 |                399.283                1.37898
        11.75          0.5 |                37.9618                 3.4369                33.4524                1.86423                32.6113                1.24693                34.9181                1.06549                33.3701                1.02933                34.2141               0.846665                33.0789               0.692154                 33.141               0.704171                33.1465               0.604867                33.1839               0.492547                32.1075               0.532762                30.3578               0.616982                30.8576               0.496541                 30.499               0.446827                30.2849               0.519153                29.6224               0.430215                29.5546               0.400743                29.2584               0.401177                27.8731               0.424815                27.4819               0.404276                26.9757               0.443178                  25.59               0.450544                26.0991               0.451801                24.7526               0.433191                24.8294               0.486571                26.1602               0.710415                24.2975                1.10103 |                368.184                1.32419
        12.25          0.5 |                26.1376                2.85185                30.4396                 1.7783                33.2311                1.25872                32.5447                1.02864                33.7828                1.03568                31.2389               0.809017                 32.181               0.682695                31.3455               0.684831                30.9168               0.584169                30.0183               0.468464                29.4466               0.510209                29.7308               0.610578                28.8041               0.479736                28.6072               0.432747                28.2914               0.501775                26.9795               0.410574                 27.142               0.384038                26.7831               0.383831                25.6977                 0.4079                24.4786               0.381547                24.6167               0.423357                24.8205               0.443719                24.7382               0.439865                23.9793               0.426371                  22.56               0.463802                23.3243               0.670804                23.2498                1.07703 |                342.205                1.27662
        12.75          0.5 |                27.0711                2.90233                30.4396                 1.7783                29.9891                1.19574                30.3989               0.994151                27.7184               0.938126                28.9762               0.779165                29.0816               0.648988                28.4578               0.652524                28.2899                 0.5588                28.2929               0.454802                27.2277               0.490609                27.1853               0.583855                  27.31               0.467127                26.7546                 0.4185                25.5326               0.476683                25.8798                0.40212                25.1913                0.36998                24.9733               0.370637                24.0985               0.395004                23.7827               0.376085                23.0367               0.409546                22.6946               0.424292                 22.345               0.418046                 22.266               0.410856                21.6542               0.454395                 21.125               0.638395                21.6532                1.03939 |                318.245                1.23111
        13.25          0.5 |                28.9381                3.00074                25.8685                1.63935                25.0783                1.09347                28.6433               0.965016                29.8457                0.97346                28.2848               0.769813                26.8078               0.623101                26.7522               0.632667                26.8108               0.543996                25.9462               0.435532                25.2475               0.472432                24.9659               0.559514                25.4962               0.451349                24.6008               0.401302                25.0164                0.47184                 24.174               0.388642                23.0014               0.353534                22.0744               0.348462                21.8582               0.376196                21.9451               0.361263                   21.1               0.391952                21.2033               0.410114                20.1785               0.397264                20.7801                0.39691                19.2418               0.428337                20.7006               0.631949                19.6077               0.989075 |                294.418                1.18413
        13.75          0.5 |                27.0711                2.90233                 25.349                 1.6228                24.1724                1.07354                25.4246               0.909181                24.0988               0.874732                24.8277               0.721237                24.6499               0.597496                24.7473               0.608498                 25.409               0.529584                24.2647               0.421183                23.9303               0.459944                23.5615               0.543549                23.1312               0.429906                22.8726                0.38695                 22.222               0.444706                22.8307               0.377689                21.7136               0.343494                21.5464               0.344269                 21.418               0.372388                  19.81                0.34324                20.1316               0.382853                19.2678               0.390948                19.5685               0.391213                18.1494               0.370937                18.9367               0.424928                18.5205               0.597748                17.4124               0.932064 |                274.339                1.14304
        14.25          0.5 |                25.8265                2.83482                20.7779                1.46922                25.3167                1.09865                23.7014                0.87783                22.8923               0.852554                24.6811               0.719103                23.7519               0.586512                23.3707               0.591333                23.1573               0.505574                23.1242               0.411166                21.7999               0.438992                21.7934               0.522757                21.7569                0.41694                21.4652               0.374856                20.9582               0.431876                21.3061               0.364861                19.6814               0.327025                20.1327               0.332783                19.4367               0.354747                19.1142               0.337158                19.1633               0.373531                18.4984               0.383063                17.7383                0.37247                17.7248               0.366573                17.2299               0.405326                16.6878               0.567401                16.5642                0.90908 |                256.927                1.10617
        14.75          0.5 |                 21.159                2.56591                22.8557                1.54093                23.2666                1.05323                22.9211               0.863259                21.5588                0.82735                22.0412               0.679558                22.4485               0.570192                22.6226               0.581792                 22.793               0.501582                21.4281               0.395799                 21.128               0.432175                21.1664               0.515183                 20.103               0.400779                19.9072               0.360995                19.7568               0.419315                19.7254               0.351065                18.9804               0.321149                18.8345               0.321875                18.3749               0.344921                17.5858               0.323397                17.4596                0.35654                17.0626               0.367897                17.1987                0.36676                16.5422               0.354132                15.9618               0.390124                16.7842               0.569039                15.8158               0.888306 |                241.864                1.07325
        15.25          0.5 |                22.4037                 2.6403                22.1285                1.51622                20.7397               0.994391                21.3605               0.833354                 21.908               0.834025                20.5117               0.655556                20.9712               0.551111                19.9145               0.545859                19.8239               0.467773                19.9001               0.381427                19.5544                0.41577                19.6743               0.496692                19.3759               0.393464                18.6372               0.349291                18.8313               0.409376                18.1696               0.336936                17.8882               0.311772                17.2338               0.307894                16.8728               0.330522                 16.545               0.313682                16.2218                0.34367                15.7855                0.35386                15.1495               0.344218                15.3595               0.341238                 14.665               0.373941                14.1798               0.523029                15.5664               0.881273 |                223.833                1.03247
